title,author,advisor,year,handle,link
Android alkalmazásfejlesztés,"Balogh, Péter","Bérczes, Tamás",2015,2437/219973,https://dea.lib.unideb.hu/handle/2437/219973
Android alkalmazások fejlesztése ToDoList,"Dukrét-Seres, Norbert","Bérczes, Tamás",2017,2437/240343,https://dea.lib.unideb.hu/handle/2437/240343
Androidos alkalmazás fejlesztése,"Mező, András","Bérczes, Tamás",2012-04-27T09:41:25Z,2437/128188,https://dea.lib.unideb.hu/handle/2437/128188
Androidos alkalmazás fejlesztése,"Puha, Tamás","Bérczes, Tamás",2013-05-16T12:06:30Z,2437/168373,https://dea.lib.unideb.hu/handle/2437/168373
Androidos alkalmazás fejlesztése,"Szabados, Benjamin","Bérczes, Tamás",2014-05-07T08:36:15Z,2437/191518,https://dea.lib.unideb.hu/handle/2437/191518
Androidos alkalmazásfejlesztés React Native-vel: Receptúra applikáció,"Rogoz, György","Bérczes, Tamás",2020,2437/286684,https://dea.lib.unideb.hu/handle/2437/286684
Cross-platform alkalmazás fejlesztése felhő alapú szolgáltatások kiterjesztésével,"Pósán, Norbert","Bérczes, Tamás",2017,2437/240176,https://dea.lib.unideb.hu/handle/2437/240176
Elektromos jármű irányítása Android alkalmazás segítségével,"Kiss, Szabolcs","Bérczes, Tamás",2022,2437/340902,https://dea.lib.unideb.hu/handle/2437/340902
Hibrid üzleti alkalmazás fejlesztése C# Blazor környezetben,"Szabó, Kristóf","Bérczes, Tamás",2022,2437/332172,https://dea.lib.unideb.hu/handle/2437/332172
Java alkalmazás fejlesztés banki környezetben,"Nyizsnyik, Norbert","Bérczes, Tamás",2020,2437/298718,https://dea.lib.unideb.hu/handle/2437/298718
Játékprogram fejlesztése android rendszerekre,"Papp, Gábor","Bérczes, Tamás",2020,2437/298611,https://dea.lib.unideb.hu/handle/2437/298611
Lokáció alapú szociális média mobil alkalmazások,"Hajdu, Benedek","Bérczes, Tamás",2022,2437/332302,https://dea.lib.unideb.hu/handle/2437/332302
Mozijegy foglaló alkalmazás fejlesztése,"Szemán, Dávid","Bérczes, Tamás",2021,2437/325638,https://dea.lib.unideb.hu/handle/2437/325638
Platformfüggetlen alkalmazás fejlesztés Blazor környezetben,"Kálmánchey, Nándor","Bérczes, Tamás",2022,2437/340926,https://dea.lib.unideb.hu/handle/2437/340926
Raktári alkalmazás,"Gere, Gábor","Bérczes, Tamás",2022,2437/341395,https://dea.lib.unideb.hu/handle/2437/341395
Raktárkezelő és eszközigénylő web alkalmazás implementálása a LEGO Manufacturing Kft-nél,"Korpai, Bálint","Bérczes, Tamás",2016,2437/227431,https://dea.lib.unideb.hu/handle/2437/227431
Többcsatornás videó kezelő alkalmazás,"Berki, Dániel","Bérczes, Tamás",2013-06-07T06:50:27Z,2437/170458,https://dea.lib.unideb.hu/handle/2437/170458
Webes hibabejelentő alkalmazás nagyvállalati felhasználásra,"Szilágyi, Zoltán","Bérczes, Tamás",2022,2437/331619,https://dea.lib.unideb.hu/handle/2437/331619
Útvonalinformációs rendszer mobil alkalmazással,"Illyés, Béla","Bérczes, Tamás",2015,2437/213169,https://dea.lib.unideb.hu/handle/2437/213169
Angular alapú online időkövető alkalmazás,"Kovács, Kristóf Gábor","Bérczes, Tamás Márton",2025,2437/394820,https://dea.lib.unideb.hu/handle/2437/394820
Blazor Web alkalmazás adminisztrációs felület,"Czégény, Patrik","Bérczes, Tamás Márton",2025,2437/394819,https://dea.lib.unideb.hu/handle/2437/394819
Képfeldolgozáson alapuló darts pontszámító alkalmazás fejlesztése,"Jonathan, Jonathan","Bódis-Szomorú, András; Szeghalmy, Szilvia",2019,2437/277223,https://dea.lib.unideb.hu/handle/2437/277223
Tetszőlegesen választott alkalmazás fejlesztése Delphiben,"Donkó, Gábor","Bölcskei, András",2007-03-19T10:29:09Z,2437/1318,https://dea.lib.unideb.hu/handle/2437/1318
A játékdizájn és játékmenet különbségei mobil és számítógépes játékok esetén,"Bagoly, Luca Enikő","Erős, Bence Dániel",2025,2437/394768,https://dea.lib.unideb.hu/handle/2437/394768
Raktárhasználatot segítő adatkezelő és vizualizációs alkalmazás fejlesztése,"Kertész, Ádám Csaba","Erős, Bence Dániel",2026,2437/404437,https://dea.lib.unideb.hu/handle/2437/404437
Java alkalmazás átalakítása webalkalmazássá,"Tóth, Ákos","Espák, Miklós",2009-05-08T07:32:04Z,2437/85455,https://dea.lib.unideb.hu/handle/2437/85455
Mobil banki alkalmazás Android platformon,"Száldobágyi, Lóránd","Fazekas, Gábor",2009-01-08T10:37:51Z,2437/78053,https://dea.lib.unideb.hu/handle/2437/78053
Mobil fejlesztés .NET környezetben,"Maksa, Tamás","Fazekas, Gábor",2009-05-08T07:38:25Z,2437/85457,https://dea.lib.unideb.hu/handle/2437/85457
Mobiltelefon programozás és mobil adatbázis-kezelés,"Toldi, Gábor","Fazekas, Gábor",2008-12-02T09:58:57Z,2437/37893,https://dea.lib.unideb.hu/handle/2437/37893
SOFTWARE ENGINEERING PRACTICES ON MOBILE APPLICATIONS,"Őztan, Mustafa","Fazekas, Gábor",2016,2437/226156,https://dea.lib.unideb.hu/handle/2437/226156
WAP alapú alkalmazás fejlesztés,"Szegedi, Zoltán","Fazekas, Gábor",2007-03-19T09:13:47Z,2437/1310,https://dea.lib.unideb.hu/handle/2437/1310
Web-szerver és mobil-kliens alkalmazások fejlesztése,"Budai, Attila; Csubák, Péter","Fazekas, Gábor",2009-12-08T07:57:53Z,2437/90751,https://dea.lib.unideb.hu/handle/2437/90751
"Játékfejlesztés HTML 5 és JAVASCRIPT technológiákkal multiplatformra (mobil, desktop)","Pajger, Lajos","Fazekas, Gábor; Bettenbuk, Zoltán",2020,2437/286911,https://dea.lib.unideb.hu/handle/2437/286911
Android alapú alkalmazásfejlesztés,"Jónizs, Krisztián","Gilányi, Attila",2015,2437/219955,https://dea.lib.unideb.hu/handle/2437/219955
Android az oktatásban,"Szabados, Anikó","Gilányi, Attila",2013-05-14T10:09:18Z,2437/168196,https://dea.lib.unideb.hu/handle/2437/168196
Az Android operációs rendszer,"Rubóczki, Máté","Gilányi, Attila",2015,2437/211929,https://dea.lib.unideb.hu/handle/2437/211929
Android applikáció fejlesztése hisztaminintoleranciával küzdők számára,"Kerekes, Adrienn","Godó, Zoltán Attila",2024,2437/374561,https://dea.lib.unideb.hu/handle/2437/374561
Bluetooth alapú telefonos irányítási rendszer fejlesztése React Native alkalmazás segítségével,"Orosz, Regina","Godó, Zoltán Attila",2025,2437/394738,https://dea.lib.unideb.hu/handle/2437/394738
Közösségi várakozási-idő információs alkalmazás,"Lácza, Roland","Godó, Zoltán Attila",2020,2437/286359,https://dea.lib.unideb.hu/handle/2437/286359
Felhő alapú mobil alkalmazás fejlesztése,"Soós, Béla","Gál, Zoltán",2015,2437/214204,https://dea.lib.unideb.hu/handle/2437/214204
IoT virtualizációs technikák Mininet környezetben,"Derekas, Bence","Gál, Zoltán",2022,2437/341250,https://dea.lib.unideb.hu/handle/2437/341250
Bőrpigmentációk elváltozását követő alkalmazás fejlesztése iOS operációs rendszerre,"Monori, Fanny","Hajdu, András",2016,2437/232909,https://dea.lib.unideb.hu/handle/2437/232909
Egy konkrét biobank alkalmazás megvalósítása Java technológiával,"Nagy, István Zoltán","Hajdu, András",2011-04-28T08:59:30Z,2437/105218,https://dea.lib.unideb.hu/handle/2437/105218
Sport statisztikai alkalmazás fejlesztése Android platformon,"Kandala, Tamás","Hajdú, András",2014-05-06T07:50:13Z,2437/191359,https://dea.lib.unideb.hu/handle/2437/191359
Kézmozgás követésén alapuló alkalmazás fejlesztése,"Jászfalvi, Tamás Norbert","Harangi, Balázs",2016,2437/232511,https://dea.lib.unideb.hu/handle/2437/232511
MOBIL ALAPÚ ORVOSI KÉPFELDOLGOZÓ ALKALMAZÁSOK FEJLESZTÉSE,"Török, Bálint","Harangi, Balázs",2018,2437/259234,https://dea.lib.unideb.hu/handle/2437/259234
Mobil alapú orvosi képfeldolgozó alkalmazások fejlesztése,"Fedor, Gyula","Harangi, Balázs",2017,2437/245965,https://dea.lib.unideb.hu/handle/2437/245965
Python alkalmazás nagy nyelvi modellek mérésére és összehasonlítására,"Guti, Szilárd","Harangi, Balázs; London, András",2025,2437/394790,https://dea.lib.unideb.hu/handle/2437/394790
IoT (Internet of Things) eszközöket kezelő alkalmazás fejlesztése,"Dimand, Márton","Herendi, Tamás",2024,2437/374595,https://dea.lib.unideb.hu/handle/2437/374595
Térbeli vizualizációt segítő iOS applikáció,"Kovács, Attila Patrik","Hoffmann, Miklós",2026,2437/413445,https://dea.lib.unideb.hu/handle/2437/413445
Egy kölcsönző alkalmazás PHP és MySQL eszközökkel,"Koncz, Sándor","Horváth, Géza",2011-11-24T10:45:33Z,2437/119145,https://dea.lib.unideb.hu/handle/2437/119145
Játékfejlesztés és NPC vezérlés mobil eszközökre,"Dán, Attila","Horváth, Géza",2018,2437/252054,https://dea.lib.unideb.hu/handle/2437/252054
Többrétegű alkalmazás frissítési automatizálása ipari környezetben,"Molnár, Nikolett","Ispány, Márton; Drágossy, Richárd",2023,2437/350241,https://dea.lib.unideb.hu/handle/2437/350241
Adatbázis-alapú Java alkalmazás fejlesztése modern SQL generáló eszközökkel,"Hromják, Róbert","Jeszenszky, Péter",2026,2437/413290,https://dea.lib.unideb.hu/handle/2437/413290
AI Chatbot Alkalmazás Interaktív Felhasználói Felületének Kialakítása Next.js és React Használatával,"Farkas, Zoltán","Jeszenszky, Péter",2026,2437/413295,https://dea.lib.unideb.hu/handle/2437/413295
Home office támogató alkalmazás fejlesztése Javascript alapokon,"Rogoz, György","Jeszenszky, Péter",2022,2437/331729,https://dea.lib.unideb.hu/handle/2437/331729
Kalóriaszámláló webes alkalmazás fejlesztése,"Szabó, Bence","Jeszenszky, Péter",2022,2437/330554,https://dea.lib.unideb.hu/handle/2437/330554
Koktélkészítést segítő alkalmazás,"Molnár, Ferenc","Jeszenszky, Péter",2026,2437/413292,https://dea.lib.unideb.hu/handle/2437/413292
LEGO készlet nyilvántartó webes alkalmazás fejlesztése,"Margitai, Balázs","Jeszenszky, Péter",2025,2437/394955,https://dea.lib.unideb.hu/handle/2437/394955
StudyHelper webes alkalmazás,"Szabó, Dávid","Jeszenszky, Péter",2025,2437/394958,https://dea.lib.unideb.hu/handle/2437/394958
Teljesítménytúra lebonyolítást támogató  mobilalkalmazás fejlesztése,"Oláh, Beatrix","Jeszenszky, Péter",2024,2437/365928,https://dea.lib.unideb.hu/handle/2437/365928
Teljesítménytúra szervezést támogató alkalmazás fejlesztése,"Pazonyi, Panna Krisztina","Jeszenszky, Péter",2025,2437/394953,https://dea.lib.unideb.hu/handle/2437/394953
Tudásmegosztó közösségi webes alkalmazás fejlesztése,"Nagy, Bence","Jeszenszky, Péter",2025,2437/394956,https://dea.lib.unideb.hu/handle/2437/394956
Webes alkalmazás elektronikai alkatrészek nyilvántartásához,"Nyíri, Sándor Dániel","Jeszenszky, Péter",2025,2437/394954,https://dea.lib.unideb.hu/handle/2437/394954
Webes alkalmazás fejlesztése Spring és JSF alapokon,"Szabó, Tamás","Jeszenszky, Péter",2015,2437/211847,https://dea.lib.unideb.hu/handle/2437/211847
Élelmiszer tároló és nyilvántartó webes alkalmazás,"Parti, Dávid","Jeszenszky, Péter",2026,2437/404549,https://dea.lib.unideb.hu/handle/2437/404549
Étrend összeállító webes alkalmazás különleges étkezési igények figyelembevételével,"Szabó, Balázs","Jeszenszky, Péter",2026,2437/413297,https://dea.lib.unideb.hu/handle/2437/413297
Fejlesztés Google App Engine környezetben,"Szauervein, Szabolcs","Juhász, István",2011-05-17T08:47:35Z,2437/108405,https://dea.lib.unideb.hu/handle/2437/108405
Háziorvosi alkalmazás fejlesztése,"Kovács, Balázs","Juhász, István",2010-05-03T08:27:54Z,2437/95239,https://dea.lib.unideb.hu/handle/2437/95239
Mobil adatbázisok,"Gunda, Lénárd","Juhász, István",2006-06-29T09:30:17Z,2437/155,https://dea.lib.unideb.hu/handle/2437/155
Mobil webalkalmazás fejlesztés,"Máté, Balázs","Juhász, István",2011-05-03T08:50:35Z,2437/105619,https://dea.lib.unideb.hu/handle/2437/105619
Webes alkalmazás fejlesztése Visual Studio.net alatt,"Vinnai, Péter","Juhász, István",2006-08-03T14:27:14Z,2437/359,https://dea.lib.unideb.hu/handle/2437/359
Aktivitást követő fitnesz alkalmazás tervezése,"Mézes, Csaba Bence","Kapusi, Tibor Péter",2026,2437/404501,https://dea.lib.unideb.hu/handle/2437/404501
Omniverse-alapú alkalmazás fejlesztése anomáliák szimulálására mélytanuló algoritmusok működésének vizsgálatához,"Iklódi, Nóra","Kapusi, Tibor Péter",2026,2437/413301,https://dea.lib.unideb.hu/handle/2437/413301
Rendszerfrissítő alkalmazás fejlesztése és tervezése TPM modul alkalmazásával,"Fekete, Rudolf Dominik","Kapusi, Tibor Péter",2026,2437/404499,https://dea.lib.unideb.hu/handle/2437/404499
Szenzoralapú adatgyűjtő alkalmazás webes megjelenítő felülettel,"Kerecsen, Gergő András","Kapusi, Tibor Péter",2025,2437/395086,https://dea.lib.unideb.hu/handle/2437/395086
Verseny a mobil operációs rendszerek piacán,"Lipusz, Tibor","Kiss, Marietta",2012-01-16T12:39:51Z,2437/120875,https://dea.lib.unideb.hu/handle/2437/120875
Android alkalmazásfejlesztés,"Gyuricza, Ádám","Kocsis, Gergely",2021,2437/306810,https://dea.lib.unideb.hu/handle/2437/306810
Android alkalmazással vezérelt Raspberry Pi alapú madármegfigyelő állomás,"Zöld, Róbert","Kocsis, Gergely",2021,2437/324133,https://dea.lib.unideb.hu/handle/2437/324133
Android okosóra és okostelefon bluetooth feletti kommunikációja,"Erős, Gergő","Kocsis, Gergely",2021,2437/324186,https://dea.lib.unideb.hu/handle/2437/324186
Behatolásjelző rendszer Android alkalmazás és külső hardver segítségével,"Tóth, Gergő","Kocsis, Gergely",2026,2437/404481,https://dea.lib.unideb.hu/handle/2437/404481
Borminőség ellenőrzésére szolgáló mobil-támogatott eszköz fejlesztésére kistermelői borászatoknak,"Csatári, József","Kocsis, Gergely",2022,2437/331085,https://dea.lib.unideb.hu/handle/2437/331085
